CALENDAR_DATE, IN_TRANSIT_CI_VALUE , OUTSTANDING_PRINCIPAL 
1/1/19," $4,748,807.69 "," $15,787,484.56 "
1/2/19," $4,891,943.00 "," $15,771,635.71 "
1/3/19," $4,601,174.92 "," $16,120,044.21 "
1/4/19," $4,398,198.65 "," $16,323,972.10 "
1/5/19," $4,388,698.65 "," $16,167,380.33 "
1/6/19," $4,780,389.47 "," $16,143,485.91 "
1/7/19," $5,129,409.75 "," $16,554,688.09 "
1/8/19," $4,903,518.56 "," $16,378,213.96 "
1/9/19," $4,656,206.42 "," $16,042,440.53 "
1/10/19," $4,260,465.20 "," $16,048,461.79 "
1/11/19," $4,064,249.15 "," $16,086,032.28 "
1/12/19," $3,743,394.45 "," $15,828,204.17 "
1/13/19," $3,921,626.02 "," $15,695,720.19 "
1/14/19," $3,999,940.93 "," $15,753,938.44 "
1/15/19," $3,990,234.62 "," $15,553,191.75 "
1/16/19," $3,836,599.26 "," $15,672,002.85 "
1/17/19," $3,393,002.88 "," $15,635,259.55 "
1/18/19," $2,577,992.45 "," $15,488,148.16 "
1/19/19," $2,564,317.44 "," $15,442,672.75 "
1/20/19," $2,576,078.44 "," $15,036,066.59 "
1/21/19," $2,629,299.81 "," $14,769,654.96 "
1/22/19," $2,585,148.90 "," $14,129,882.80 "
1/23/19," $2,772,505.25 "," $14,445,454.15 "
1/24/19," $2,992,902.30 "," $15,380,089.25 "
1/25/19," $3,003,245.08 "," $15,889,505.63 "
1/26/19," $2,843,567.68 "," $15,501,692.40 "
1/27/19," $3,062,658.64 "," $15,103,976.77 "
1/28/19," $3,642,873.72 "," $14,580,330.66 "
1/29/19," $3,642,865.14 "," $14,560,426.01 "
1/30/19," $3,661,815.05 "," $14,497,798.92 "
1/31/19," $3,456,152.72 "," $14,443,291.77 "
2/1/19," $3,635,806.24 "," $14,561,758.04 "
2/2/19," $3,893,765.11 "," $14,505,801.49 "
2/3/19," $4,082,043.99 "," $14,399,648.19 "
2/4/19," $4,168,821.20 "," $13,855,209.53 "
2/5/19," $3,963,122.08 "," $13,649,653.29 "
2/6/19," $3,654,235.76 "," $13,616,747.28 "
2/7/19," $3,927,952.06 "," $13,552,052.64 "
2/8/19," $4,006,784.78 "," $13,336,812.16 "
2/9/19," $4,253,989.37 "," $13,314,766.69 "
2/10/19," $4,430,925.54 "," $13,127,533.70 "
2/11/19," $4,462,096.36 "," $12,814,583.49 "
2/12/19," $4,587,456.96 "," $12,760,089.71 "
2/13/19," $4,377,794.83 "," $12,750,644.07 "
2/14/19," $3,977,172.24 "," $12,679,689.83 "
2/15/19," $3,993,836.24 "," $12,755,325.54 "
2/16/19," $3,879,954.15 "," $12,632,124.28 "
2/17/19," $3,525,367.85 "," $12,610,209.01 "
2/18/19," $3,550,961.45 "," $12,308,295.75 "
2/19/19," $3,159,036.71 "," $12,223,407.28 "
2/20/19," $3,079,206.26 "," $12,217,257.31 "
2/21/19," $3,018,758.01 "," $12,227,214.23 "
2/22/19," $3,005,421.41 "," $11,909,366.39 "
2/23/19," $3,008,929.90 "," $11,797,246.56 "
2/24/19," $3,008,929.90 "," $11,705,300.59 "
2/25/19," $3,077,094.70 "," $11,500,627.23 "
2/26/19," $2,987,030.10 "," $11,980,000.26 "
2/27/19," $2,868,045.48 "," $12,623,751.01 "
2/28/19," $2,870,902.52 "," $12,669,637.60 "
3/1/19," $2,648,182.33 "," $12,609,343.59 "
3/2/19," $2,925,834.26 "," $12,548,984.30 "
3/3/19," $2,931,581.22 "," $12,548,984.30 "
3/4/19," $3,103,114.30 "," $12,566,592.18 "
3/5/19," $3,149,098.36 "," $12,341,948.88 "
3/6/19," $2,683,502.63 "," $12,163,428.08 "
3/7/19," $2,936,363.68 "," $12,166,508.16 "
3/8/19," $3,242,879.42 "," $12,159,414.63 "
3/9/19," $3,108,888.27 "," $12,137,403.78 "
3/10/19," $3,108,888.27 "," $11,908,815.24 "
3/11/19," $3,318,394.14 "," $11,803,222.82 "
3/12/19," $3,217,365.34 "," $11,639,228.17 "
3/13/19," $3,262,313.70 "," $11,547,703.15 "
3/14/19," $2,972,080.36 "," $11,087,079.44 "
3/15/19," $2,419,906.50 "," $11,061,635.23 "
3/16/19," $2,553,032.05 "," $11,070,102.58 "
3/17/19," $3,122,606.60 "," $11,070,102.58 "
3/18/19," $3,220,456.92 "," $10,969,803.87 "
3/19/19," $3,244,044.53 "," $10,905,511.44 "
3/20/19," $3,175,953.60 "," $10,929,650.79 "
3/21/19," $3,107,591.20 "," $10,671,513.77 "
3/22/19," $3,137,744.84 "," $10,756,798.16 "
3/23/19," $2,777,795.52 "," $10,736,251.93 "
3/24/19," $3,261,019.43 "," $10,729,135.60 "
3/25/19," $3,440,734.43 "," $10,031,716.04 "
3/26/19," $3,676,648.33 "," $9,624,216.42 "
3/27/19," $3,403,190.39 "," $9,680,787.52 "
3/28/19," $3,044,858.46 "," $9,598,449.49 "
3/29/19," $2,880,492.38 "," $9,532,100.69 "
3/30/19," $2,783,014.63 "," $9,565,390.36 "
3/31/19," $2,783,014.63 "," $9,569,304.47 "
4/1/19," $2,958,873.87 "," $8,496,550.48 "
4/2/19," $3,271,336.28 "," $8,519,948.90 "
4/3/19," $3,237,489.01 "," $8,796,795.99 "
4/4/19," $3,361,610.04 "," $8,732,069.06 "
4/5/19," $3,377,234.04 "," $8,787,556.57 "
4/6/19," $3,573,726.75 "," $8,773,418.14 "
4/7/19," $3,704,695.93 "," $8,780,508.83 "
4/8/19," $3,788,734.79 "," $8,781,313.70 "
4/9/19," $4,013,589.39 "," $8,448,571.12 "
4/10/19," $3,864,863.18 "," $8,413,874.39 "
4/11/19," $4,104,067.12 "," $7,965,915.64 "
4/12/19," $4,123,768.59 "," $8,112,585.45 "
4/13/19," $4,153,138.81 "," $8,121,380.83 "
4/14/19," $4,491,179.76 "," $8,125,424.55 "
